name,bioactivity_score,mol_weight,logp,solubility,toxicity,is_champion,targets,discovery_date,mega_id
curcumin,0.6214071821531004,368.4,2.8917240458285285,Modérée,Élevée,False,1,2024-01-01,MEGA_000001
demethoxycurcumin,0.5438493035624744,338.4,2.971947730215078,Modérée,Élevée,False,3,2024-01-01,MEGA_000002
bisdemethoxycurcumin,0.6443775035898583,308.3,5.043717832038703,Modérée,Faible,False,2,2024-01-01,MEGA_000003
ginkgolide A,0.4536313009552235,408.4,6.756156742628013,Faible,Élevée,False,2,2024-01-01,MEGA_000004
ginkgolide B,0.799237566406821,424.4,5.806668505230682,Faible,Élevée,False,3,2024-01-01,MEGA_000005
bilobalide,0.41231451509130085,326.3,3.741223940162623,Modérée,Élevée,False,2,2024-01-01,MEGA_000006
ginsenoside Rb1,0.7247626739821534,1109.3,8.0,Faible,Modérée,False,2,2024-01-01,MEGA_000007
ginsenoside Rg1,0.47588861646935043,801.0,7.211814106103033,Faible,Modérée,False,2,2024-01-01,MEGA_000008
ginsenoside Re,0.5027150369132676,947.2,8.0,Faible,Élevée,False,1,2024-01-01,MEGA_000009
cannabidiol,0.6652860822835787,314.5,2.5917323413132394,Modérée,Élevée,False,2,2024-01-01,MEGA_000010
tetrahydrocannabinol,0.7710185757142485,314.5,5.29616404142577,Modérée,Faible,False,1,2024-01-02,MEGA_000011
cannabinol,0.3884610212434398,310.4,4.910282296382598,Modérée,Faible,False,2,2024-01-02,MEGA_000012
rosmarinic acid,0.6169417437966155,360.3,4.349278389935394,Modérée,Élevée,False,2,2024-01-02,MEGA_000013
caffeic acid,0.5654493307420426,180.16,0.8409868235871738,Bonne,Élevée,False,3,2024-01-02,MEGA_000014
chlorogenic acid,0.424902763047576,354.31,4.436155926711036,Modérée,Modérée,False,3,2024-01-02,MEGA_000015
resveratrol,0.6277099768574408,228.24,2.043782971489395,Bonne,Faible,False,2,2024-01-02,MEGA_000016
quercetin,0.4286535754579361,302.23,0.8692905613558786,Bonne,Faible,False,2,2024-01-02,MEGA_000017
catechin,0.579151392224605,290.27,3.1898006374012593,Modérée,Faible,False,2,2024-01-02,MEGA_000018
epigallocatechin gallate,0.47390962183548035,458.4,3.7420869591659445,Faible,Faible,False,1,2024-01-02,MEGA_000019
caffeine,0.5084888978607299,194.19,1.1338465709099628,Bonne,Élevée,False,2,2024-01-02,MEGA_000020
allicin,0.5256132218414782,162.3,1.3725920064319928,Bonne,Élevée,False,3,2024-01-03,MEGA_000021
ajoene,0.6608315642943456,234.4,1.845677027057587,Bonne,Modérée,False,1,2024-01-03,MEGA_000022
allyl sulfide,0.4360210329176177,114.21,1.1078431808959919,Bonne,Faible,False,2,2024-01-03,MEGA_000023
gingerol,0.5902938429672425,294.4,2.8616694499827946,Modérée,Modérée,False,1,2024-01-03,MEGA_000024
shogaol,0.4937789251685436,276.4,0.8881909071523684,Bonne,Faible,False,1,2024-01-03,MEGA_000025
zingerone,0.4948667570915516,194.23,3.462577988882833,Bonne,Faible,False,1,2024-01-03,MEGA_000026
echinacoside,0.6203934167677756,786.7,6.883623277051321,Faible,Faible,False,1,2024-01-03,MEGA_000027
chicoric acid,0.48297891565916584,474.4,3.791601614869527,Faible,Élevée,False,2,2024-01-03,MEGA_000028
caftaric acid,0.4929546476915379,312.23,2.7937467482097027,Modérée,Élevée,False,3,2024-01-03,MEGA_000029
anthocyanins,0.5601154702398403,0.0,-0.10833484736929419,Bonne,Faible,False,1,2024-01-03,MEGA_000030
flavonoids,0.4123879550813687,0.0,1.4589798168318389,Bonne,Élevée,False,3,2024-01-04,MEGA_000031
stilbenes,0.496632660699743,0.0,0.2694234520549011,Bonne,Élevée,False,1,2024-01-04,MEGA_000032
theobromine,0.5876412869091158,0.0,0.5664654841095343,Bonne,Faible,False,3,2024-01-04,MEGA_000033
morphine,0.3490424913465695,0.0,0.2745361875832817,Bonne,Faible,False,1,2024-01-04,MEGA_000034
quinine,0.4050979731871448,0.0,0.23146158249877297,Bonne,Élevée,False,1,2024-01-04,MEGA_000035
berberine,0.5012341094268652,0.0,0.3097295030870087,Bonne,Faible,False,2,2024-01-04,MEGA_000036
ginsenosides,0.6050915976718094,0.0,-1.9327341425689386,Bonne,Élevée,False,2,2024-01-04,MEGA_000037
triterpenes,0.8283443312085894,0.0,-0.24991848483952864,Bonne,Élevée,False,1,2024-01-04,MEGA_000038
sesquiterpenes,0.47639607410138063,0.0,1.1622611105711573,Bonne,Modérée,False,3,2024-01-04,MEGA_000039
astragaloside,0.37439229633195564,250.0,6.442331010806686,Modérée,Faible,False,2,2024-01-04,MEGA_000040
formononetin,0.37042789864388886,280.0,1.5956910674604898,Bonne,Élevée,False,2,2024-01-05,MEGA_000041
