compound_name,chembl_id,target_name,activity_type,activity_value,activity_units,assay_description
curcumin,CHEMBL140,Lymphoblastoid cell,Potency,31622.8,nM,"PUBCHEM_BIOASSAY: Cell Viability - LYMP2-011. Luminescent cell viability assay, measuring the amount of cellular ATP in the cell line following compound treatment for 24 hours (Class of assay: confirm"
curcumin,CHEMBL140,Menin/Histone-lysine N-methyltransferase MLL,Potency,31622.8,nM,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) 
curcumin,CHEMBL140,Menin/Histone-lysine N-methyltransferase MLL,Potency,28183.8,nM,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) 
curcumin,CHEMBL140,Menin/Histone-lysine N-methyltransferase MLL,Potency,3981.1,nM,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) 
curcumin,CHEMBL140,Menin/Histone-lysine N-methyltransferase MLL,Potency,14125.4,nM,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide. (Class of assay: confirmatory) 
curcumin,CHEMBL140,Prelamin-A/C,Potency,35481.3,nM,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) 
curcumin,CHEMBL140,Prelamin-A/C,Potency,1778.3,nM,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) 
curcumin,CHEMBL140,Lymphoblastoid cell,Potency,25118.9,nM,"PUBCHEM_BIOASSAY: Cell Viability - LYMP2-022. Luminescent cell viability assay, measuring the amount of cellular ATP in the cell line following compound treatment for 24 hours (Class of assay: confirm"
curcumin,CHEMBL140,Thyroid hormone receptor beta-1,Potency,50118.7,nM,PUBCHEM_BIOASSAY: qHTS for Inhibitors of the Interaction of Thyroid Hormone Receptor and Steroid Receptor Coregulator 2. (Class of assay: confirmatory) 
curcumin,CHEMBL140,Breast cancer type 1 susceptibility protein,Potency,5011.9,nM,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of BRCT-Phosphoprotein Interaction (Green Fluorophore). (Class of assay: confirmatory) 
demethoxycurcumin,CHEMBL105360,DLD-1,IC50,40000.0,nM,Cytotoxicity against human DLD1 cells preincubated for 4 hrs followed by incubation in compound free media for 24 hrs by MTT assay
demethoxycurcumin,CHEMBL105360,MCF7,IC50,92100.0,nM,Cytotoxicity against human MCF7 cells preincubated for 4 hrs followed by incubation in compound free media for 24 hrs by MTT assay
demethoxycurcumin,CHEMBL105360,WRL68,IC50,26300.0,nM,Cytotoxicity against human WRL68 cells preincubated for 4 hrs followed by incubation in compound free media for 24 hrs by MTT assay
demethoxycurcumin,CHEMBL105360,A-431,IC50,100000.0,nM,Cytotoxicity against human A431 cells preincubated for 4 hrs followed by incubation in compound free media for 24 hrs by MTT assay
demethoxycurcumin,CHEMBL105360,A549,IC50,28200.0,nM,Cytotoxicity against human A549 cells preincubated for 4 hrs followed by incubation in compound free media for 24 hrs by MTT assay
demethoxycurcumin,CHEMBL105360,HT-1080,IC50,7500.0,nM,Decrease in UPA expression in human HT1080 cells
demethoxycurcumin,CHEMBL105360,MDA-MB-231,IC50,9000000.0,nM,Increase in MMP3 level in human MDA-MB-231 cells after 24 hrs by ELISA
demethoxycurcumin,CHEMBL105360,SK-OV-3,Activity,70.7,%,Induction of apoptosis in human SKOV3 cells at 80 umol/L after 48 hrs by annexin-V-FITC/propidium iodide staining-based flow cytometric method relative to control
demethoxycurcumin,CHEMBL105360,SK-OV-3,Activity,35.1,%,Induction of apoptosis in human SKOV3 cells at 20 umol/L after 48 hrs by annexin-V-FITC/propidium iodide staining-based flow cytometric method relative to control
bisdemethoxycurcumin,CHEMBL105350,Human immunodeficiency virus type 1 integrase,IC50,120000.0,nM,Inhibition of 3'- processing activity of HIV-1 integrase
bisdemethoxycurcumin,CHEMBL105350,Human immunodeficiency virus type 1 integrase,IC50,80000.0,nM,Inhibition of strand transfer activity of HIV-1 integrase
bisdemethoxycurcumin,CHEMBL105350,Human immunodeficiency virus type 1 integrase,IC50,100000.0,nM,Compound concentration required to reduce HIV-1 Integrase 3'-processing activity by 50%
bisdemethoxycurcumin,CHEMBL105350,MT4,CC50,13000.0,nM,Compound concentration required to reduce the exponential growth of MT-4 cells by 50%
bisdemethoxycurcumin,CHEMBL105350,KB,CC50,8500.0,nM,Compound concentration required to reduce the exponential growth of KB cells by 50%
bisdemethoxycurcumin,CHEMBL105350,ADMET,Fold increase,0.9,,Fold increase in protein-linked DNA breaks (PLDB) with respect to untreated controls.
bisdemethoxycurcumin,CHEMBL105350,Human immunodeficiency virus type 1 integrase,IC50,100000.0,nM,Inhibitory activity against HIV-1 Integrase (HIV-1-IN)
bisdemethoxycurcumin,CHEMBL105350,Cyclooxygenase-2,IC50,36370.0,nM,Anti-oxidant activity in DPPH radicak scavenging assay; n=3-4
bisdemethoxycurcumin,CHEMBL105350,Cyclooxygenase-1,Inhibition,41.7,%,Percent inhibition against Prostaglandin G/H synthase 1 from ram seminal vesicles at 100 uM
bisdemethoxycurcumin,CHEMBL105350,Cyclooxygenase-2,Inhibition,33.2,%,Percent inhibition against Prostaglandin G/H synthase 2 from sheep placenta at 100 uM
ginkgolide A,CHEMBL465161,Glycine receptor subunit alpha-1,IC50,1900.0,nM,Activity at human alpha-1GlyR expressed in HEK293 cells by FMP assay
ginkgolide A,CHEMBL465161,Glycine receptor subunit alpha-1,IC50,1995.26,nM,Activity at human alpha-1GlyR expressed in HEK293 cells by FMP assay
ginkgolide A,CHEMBL465161,Glycine receptor subunit alpha-1,IC50,690.0,nM,Activity at human alpha-1-beta-GlyR expressed in HEK293 cells by FMP assay
ginkgolide A,CHEMBL465161,Glycine receptor subunit alpha-1,IC50,630.96,nM,Activity at human alpha-1-beta-GlyR expressed in HEK293 cells by FMP assay
ginkgolide A,CHEMBL465161,Glycine receptor subunit alpha-2,IC50,1995.26,nM,Activity at human alpha-2GlyR expressed in HEK293 cells by FMP assay
ginkgolide A,CHEMBL465161,Glycine receptor subunit alpha-2,IC50,2100.0,nM,Activity at human alpha-2GlyR expressed in HEK293 cells by FMP assay
ginkgolide A,CHEMBL465161,Glycine receptor subunit alpha-1,IC50,3800.0,nM,Activity at human alpha-1GlyR expressed in HEK293 cells assessed as inhibition of 300 uM glycine-induced current by whole-cell patch clamp experiment
